Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
702424,3428,S,WEST,BLVD,90016,11/10/2015,,GENERAL,,O,34.0247,-118.34155
702419,6101,W,PICKFORD,PL,90035,11/10/2015,,GENERAL,,O,34.04816,-118.37533
702425,2406,S,SHENANDOAH,ST,90034,11/10/2015,,GENERAL,,O,34.03957,-118.38477
702465,571,N,PASEO MIRAMAR,,90272,11/10/2015,,GENERAL,,O,34.04678,-118.55714
702474,14260,W,BEAVER,ST,91342,11/12/2015,,GENERAL,,O,34.29798,-118.44405
702421,1342,S,TREMAINE,AVE,90019,11/10/2015,,GENERAL,,O,34.0501,-118.34007
702479,955,N,EAST EDGEWARE,ROAD,90026,11/12/2015,,GENERAL,,O,34.07113,-118.25347
702483,1543,S,LIVONIA,AVE,90035,11/12/2015,,GENERAL,,O,34.05117,-118.3866
702532,8803,S,BROADWAY,,90003,11/12/2015,,GENERAL,,O,33.95722,-118.27843
702540,19737,W,VENTURA,BLVD,91367,11/12/2015,,GENERAL,,O,34.17266,-118.56357
702542,8969,N,LANKERSHIM,BLVD,91352,11/12/2015,,GENERAL,,O,34.23259,-118.38803
702544,9622,N,STANWIN,AVE,91331,11/12/2015,,GENERAL,,O,34.24497,-118.4306
702545,1908,E,110TH,ST,90059,11/12/2015,,GENERAL,,O,33.93505,-118.23866
702422,4710,W,PICKFORD,ST,90019,11/10/2015,,GENERAL,,O,34.04119,-118.34264
702478,139,E,83RD,ST,90003,11/12/2015,,GENERAL,,O,33.96383,-118.27251
702535,6639,N,BLUCHER,AVE,91406,11/12/2015,,GENERAL,,O,34.19148,-118.47287
702468,5359,E,VALLEY,BLVD,90032,11/10/2015,,GENERAL,,O,34.07473,-118.16674
737296,1050,W,52ND,ST,90037,9/22/2016,,GENERAL,,O,33.99496,-118.29336
737297,659,W,60TH,ST,90044,9/22/2016,,GENERAL,,O,33.98519,-118.2858
702548,1902,E,110TH,ST,90059,11/12/2015,,GENERAL,,O,33.93504,-118.23886
702550,15758,W,LEMARSH,ST,91343,11/12/2015,,GENERAL,,O,34.2554,-118.47586
702552,1049,E,42ND,ST,90011,11/12/2015,,GENERAL,,O,34.00768,-118.25723
702553,525,W,146TH,ST,90248,11/12/2015,,GENERAL,,O,33.89972,-118.28388
702554,8807,S,BROADWAY,,90003,11/12/2015,,GENERAL,,O,33.95713,-118.27849
702556,18137,W,PARTHENIA,ST,91325,11/13/2015,,CNAP,,O,34.2288,-118.52862
702806,1571,N,TOWER GROVE,DR,90210,11/14/2015,,GENERAL,,O,34.0993,-118.42606
702808,1805,S,MENLO,AVE,90006,11/16/2015,,GENERAL,,O,34.04117,-118.29076
702831,1416,W,1ST,ST,90732,11/16/2015,,GENERAL,,O,33.74346,-118.30695
702832,1211,S,MEYLER,ST,90731,11/16/2015,,GENERAL,,O,33.73307,-118.29691
702834,6839,N,GEYSER,AVE,91335,11/16/2015,,GENERAL,,O,34.195,-118.54272
702849,18635,W,LANARK,ST,91335,11/17/2015,,CNAP,,O,34.21757,-118.53963
702858,7712,N,RADFORD,AVE,91605,11/17/2015,,GENERAL,,O,34.21059,-118.39202
702551,8156,N,TILDEN,AVE,91402,11/12/2015,,GENERAL,,O,34.21951,-118.44722
702557,4349,E,MONT EAGLE,PL,90041,11/13/2015,,GENERAL,,O,34.12058,-118.22016
702871,17433,W,BURBANK,BLVD,91316,11/17/2015,,GENERAL,,O,34.17241,-118.51323
703173,14790,W,BLEDSOE,ST,91342,11/18/2015,,GENERAL,,O,34.31474,-118.45452
703290,750,N,SARBONNE,ROAD,90077,11/18/2015,,GENERAL,,O,34.08402,-118.45174
