Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
405363,5310,,W,HOLLYWOOD,BLVD,,90027,2/2/2011,,148-5A195 118,CNAP,Central,,O,34.10158,-118.3062,2011
689162,920,,N,DEXTER,ST,,90042,7/20/2015,,153A223    36,GENERAL,East Los Angeles,,O,34.11537,-118.20965,2015
693398,14526,,W,HARTLAND,ST,,91405,8/19/2015,,183B149   674,GENERAL,South Valley,,O,34.19495,-118.44973,2015
696710,15723,,W,ROMAR,ST,,91343,9/29/2015,,204B141   639,GENERAL,North Valley,,O,34.25472,-118.47484,2015
700484,1149,,W,58TH,ST,,90037,10/28/2015,,108B197  1327,GENERAL,South Los Angeles,,O,33.98979,-118.29533,2015
700821,1401,,S,CARMONA,AVE,,90019,10/28/2015,,129B177   902,GENERAL,Central,,O,34.04875,-118.35818,2015
700825,1338,,S,SYCAMORE,AVE,,90019,10/28/2015,,129B181   918,GENERAL,Central,,O,34.04848,-118.34774,2015
700843,7242,,N,WOODLEY,AVE,,91406,10/29/2015,,186B141   827,GENERAL,South Valley,,O,34.20251,-118.48346,2015
701571,8913,,S,METTLER,ST,,90003,11/3/2015,,096A207   250,GENERAL,South Los Angeles,,O,33.95517,-118.26662,2015
701572,658,,E,89TH,ST,,90002,11/3/2015,,096A207   212,GENERAL,South Los Angeles,,O,33.95551,-118.26317,2015
701626,5300,,S,AVALON,BLVD,,90011,11/3/2015,,108B205   400,GENERAL,South Los Angeles,,O,33.99402,-118.26501,2015
702304,143,,E,57TH,ST,,90011,11/10/2015,,108B205   894,GENERAL,South Los Angeles,,O,33.99079,-118.27243,2015
702306,620,,E,81ST,ST,,90001,11/10/2015,,099B205  1094,GENERAL,South Los Angeles,,O,33.96546,-118.26426,2015
405407,1725,,S,KINGSLEY,DR,,90006,2/3/2011,,126B193   559,GENERAL,South Los Angeles,,O,34.04189,-118.30351,2011
405560,5177,,W,PICO,BLVD,,90019,2/8/2011,,129B181   903,GENERAL,Central,,O,34.04829,-118.35124,2011
405458,801,,E,7TH,ST,,90021,2/7/2011,,126A213   287,GENERAL,Central,,O,34.03955,-118.24481,2011
405459,2303,,E,11TH,ST,,90021,2/7/2011,,120A217    54,GENERAL,Central,,O,34.02346,-118.23131,2011
405528,13964,,W,BEAVER,ST,,91342,2/8/2011,,222B153   462,GENERAL,North Valley,,O,34.30401,-118.4372,2011
405816,11854,,W,JUNIETTE,ST,,90230,2/9/2011,,105B165   265,GENERAL,West Los Angeles,,O,33.98607,-118.40316,2011
405836,2030,,E,15TH,ST,,90021,2/9/2011,,120A215   187,GENERAL,Central,,O,34.02231,-118.23507,2011
405886,304,,S,PLYMOUTH,BLVD,,90020,2/10/2011,,135B189   196,GENERAL,Central,,O,34.06862,-118.32268,2011
405890,1554,,W,218TH,ST,,90501,2/10/2011,,048B193    96,GENERAL,Harbor,,O,33.83016,-118.30584,2011
406224,14684,,W,PLUMMER,ST,,91402,2/14/2011,,198B149    63,GENERAL,North Valley,,O,34.24254,-118.45316,2011
406225,13172,,W,TERRA BELLA,ST,,91331,2/14/2011,,204B157   475,GENERAL,North Valley,,O,34.25701,-118.41988,2011
406252,4713,,N,CANOGA,AVE,,91364,2/15/2011,,168B105   820,GENERAL,South Valley,,O,34.15376,-118.59633,2011
406266,762,,S,STANFORD,AVE,,90021,2/15/2011,,126A213   709,GENERAL,Central,,O,34.03741,-118.24587,2011
406267,1020,,E,WILDE,ST,,90021,2/15/2011,,126A215   336,GENERAL,Central,,O,34.03828,-118.24064,2011
702307,210,,E,92ND,ST,,90003,11/10/2015,,094-5A205 289,GENERAL,South Los Angeles,,O,33.95273,-118.2713,2015
702310,624,,E,81ST,ST,,90001,11/10/2015,,099B205  1093,GENERAL,South Los Angeles,,O,33.96537,-118.26402,2015
702311,14832,,W,CANTARA,ST,,91402,11/10/2015,,192B149   585,GENERAL,North Valley,,O,34.21923,-118.45644,2015
702314,3960,,W,BEVERLY,BLVD,,90004,11/10/2015,,138B197   373,GENERAL,Central,,O,34.0761,-118.29495,2015
702315,16126,,W,WYANDOTTE,ST,,91406,11/10/2015,,186B141   771,GENERAL,South Valley,,O,34.20284,-118.48469,2015
702851,236,,E,89TH,ST,,90003,11/17/2015,,096A205   349,GENERAL,South Los Angeles,,O,33.95542,-118.27041,2015
